Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,69.580002,69.709999,69.010002,69.089996,68.648117,13195600
2019-04-23,68.839996,69.300003,68.379997,69.199997,68.757416,13205000
2019-04-24,68.989998,69.220001,68.400002,68.830002,68.389786,9699900
2019-04-25,68.559998,69.180000,68.150002,68.730003,68.290428,8913600
2019-04-26,68.900002,69.580002,68.510002,69.510002,69.065437,10692700
2019-04-29,69.690002,71.940002,69.580002,71.029999,70.575714,16491400
2019-04-30,71.019997,71.330002,70.220001,70.699997,70.247818,11122000
2019-05-01,70.680000,71.169998,69.739998,69.959999,69.512558,13261700
2019-05-02,69.739998,70.480003,69.480003,70.360001,69.909996,12186700
2019-05-03,70.389999,70.980003,70.000000,70.669998,70.669998,11486700
2019-05-06,69.050003,70.669998,68.760002,70.410004,70.410004,12004000
2019-05-07,69.349998,69.500000,67.620003,68.160004,68.160004,17673400
2019-05-08,67.879997,68.849998,67.709999,68.220001,68.220001,9470500
2019-05-09,66.830002,67.860001,66.430000,67.629997,67.629997,16994200
2019-05-10,67.269997,68.099998,66.529999,67.900002,67.900002,12318700
2019-05-13,66.129997,66.330002,63.959999,64.379997,64.379997,23494400
2019-05-14,64.620003,65.970001,64.349998,65.260002,65.260002,15096400
2019-05-15,64.459999,65.220001,64.019997,64.870003,64.870003,14570900
2019-05-16,65.309998,66.389999,65.169998,65.980003,65.980003,10573100
2019-05-17,64.970001,65.930000,64.889999,65.070000,65.070000,11500800
2019-05-20,64.750000,65.169998,64.519997,65.095802,65.095802,1906492
